word,freq
empty,26206017
enact,1263603
endow,195844
enema,1329511
enemy,14084182
enjoy,50141455
ennui,145576
ensue,347067
enter,119394206
entry,80717798
envoy,1574245
epoch,1680235
epoxy,1908076
equal,34832354
equip,4044391
erase,3086642
erect,2057313
erode,774411
error,89396475
erupt,300083
essay,11750312
ester,1581770
ether,1877315
ethic,1333320
ethos,946491
etude,338721
evade,605626
event,125515260
every,189325890
evict,211591
evoke,804417
exact,22304937
exalt,193526
excel,14133468
exert,1109622
exile,2801261
exist,25349128
expel,467751
extol,149713
extra,59377307
exult,151420
eying,31044
fable,1678751
facet,1221287
faint,2565744
fairy,6435300
faith,35936559
false,33476460
fancy,8777135
fanny,1516099
farce,727546
fatal,6779744
fatty,5363547
fault,13112664
fauna,2298940
favor,11867822
feast,4166016
fecal,1032064
feign,116753
fella,639391
felon,392714
femme,2521124
femur,446209
fence,6796605
feral,897865
ferry,9208954
fetal,3127968
fetch,2897593
fetid,75712
fetus,1744267
fever,8582665
fewer,10792786
fiber,15530318
fibre,5134463
ficus,278867
field,135289140
fiend,670385
fiery,1838655
fifth,16255266
fifty,8133138
fight,30784313
filer,702264
filet,550472
filly,499537
filmy,657205
filth,2077997
final,97649084
finch,1816047
finer,1455912
first,578161543
fishy,658490
fixer,554896
fizzy,194519
fjord,387543
flack,408860
flail,155382
flair,1924190
flake,847014
flaky,442666
flame,8527495
flank,910609
flare,2190533
flash,68391647
flask,1150132
fleck,454043
fleet,10364423
flesh,6768724
flick,2226500
flier,542812
fling,682999
flint,3230800
flirt,1817719
float,8808655
flock,2585098
flood,13979267
floor,53759851
flora,4756211
floss,1013783
flour,5162842
flout,72396
flown,1749635
fluff,814535
fluid,12943336
fluke,1168887
flume,173970
flung,838045
flunk,79790
flush,5625285
flute,4090740
flyer,5718564
foamy,226531
focal,5844761
focus,65626732
foggy,704386
foist,55908
folio,1842202
folly,1367992
foray,499808
force,79199815
forge,5226805
forgo,340426
forte,1795408
forth,20149609
forty,7415064
forum,254478181
found,232005894
foyer,1042532
frail,696174
frame,46079991
frank,31392284
fraud,15378751
freak,3908219
freed,2683280
freer,534734
fresh,38781893
friar,422181
fried,4364192
frill,99652
frisk,152512
fritz,2309089
frock,185379
frond,86555
front,100886343
frost,5940685
froth,278469
frown,742356
froze,594804
fruit,22767191
fudge,1969555
fugue,400733
fully,48616832
fungi,2000715
funky,5587279
funny,34281806
furor,177433
furry,1887389
fussy,435961
fuzzy,5241931
gaffe,132748
gaily,131276
gamer,3144985
gamma,35426622
gamut,553397
gassy,63283
gaudy,248813
gauge,9952466
gaunt,338487
gauze,556178
gavel,352668
gawky,31136
gayer,62075
gayly,29264
gazer,129741
gecko,1230211
geeky,987806
geese,1299115
genie,1627726
genre,22344091
ghost,14490042
ghoul,247064
giant,17098874
giddy,483433
gipsy,387772
girly,778626
girth,492919
given,125542966
giver,698546
glade,1168016
gland,2561362
glare,1567097
glass,63559754
glaze,1431525
gleam,356949
glean,232952
glide,1731344
glint,272373
gloat,113594
globe,14554904
gloom,878018
glory,13158826
gloss,3426618
glove,4714578
glyph,632257
gnash,60339
gnome,12609820
godly,725475
going,155284081
golem,444797
golly,329846
gonad,95676
goner,80810
goody,733518
gooey,335656
goofy,1187234
goose,3739382
gorge,1950264
gouge,240551
gourd,502106
grace,17642126
grade,54275130
graft,1576259
grail,1122474
grain,10244623
grand,56599468
grant,47609624
grape,3638159
graph,15526746
grasp,3270025
grass,12868953
grate,672155
grave,6929008
gravy,1441099
graze,364990
great,301487430
greed,1997460
green,108287905
greet,1784219
grief,4552843
grill,10254124
grime,514156
grimy,139160
grind,2482307
gripe,545043
groan,473578
groin,784476
groom,2637912
grope,160148
gross,16440590
group,321842984
grout,628986
grove,15189493
growl,461820
grown,13931521
gruel,82196
gruff,237505
grunt,616546
guard,21137924
guava,259541
guess,28743465
guest,55293215
guide,213378807
guild,7923630
guile,1026260
guilt,3623942
guise,767344
gulch,647573
gully,800734
gumbo,467464
gummy,281705
guppy,233792
gusto,512932
gusty,202515
gypsy,2201227
habit,4880657
hairy,19060619
halve,240290
handy,7936655
happy,63471922
hardy,4748572
harem,435962
harpy,107008
harry,33867934
harsh,4087715
haste,1059853
hasty,700024
hatch,3896261
hater,467834
haunt,985188
haute,1863024
haven,10569212
havoc,1692191
hazel,2841268
heady,434375
heard,45436523
heart,90249265
heath,6139151
heave,296454
heavy,37668153
hedge,4041429
hefty,905281
heist,419629
helix,2921411
hello,32960381
hence,14992334
heron,1576813
hilly,511265
hinge,1758893
hippo,1146063
hippy,608617
hitch,2730000
hoard,433375
hobby,8237250
hoist,905107
holly,6834032
homer,4281428
honey,9978043
honor,16787246
horde,3026646
horny,12363955
horse,58453720
hotel,297974790
hotly,364264
hound,2228633
house,231310420
hovel,76694
hover,1553261
howdy,726642
human,160573748
humid,1026485
humor,18085495
humph,60767
humus,186734
hunch,327195
hunky,279599
hurry,3536968
husky,1606901
hussy,85775
hutch,1373107
hydro,3725464
hyena,268889
hymen,341598
hyper,3153749
icily,21127
icing,1277602
ideal,26036289
idiom,554390
idiot,4635830
idler,358013
idyll,120651
igloo,397625
iliac,181298
image,197874283
imbue,105068
impel,86447
imply,4491299
inane,319343
inbox,5845223
incur,1984112
index,242826246
inept,458533
inert,935898
infer,1104540
ingot,234052
inlay,965778
inlet,3433125
inner,17552078
input,57191675
inter,15269346
intro,11938092
ionic,1808092
irate,256072
irony,2212193
islet,488105
issue,128427156
itchy,1181967
ivory,7146685
jaunt,180434
jazzy,849457
jelly,3698541
jerky,763325
jetty,765224
jewel,5603871
jiffy,475865
joint,38827057
joist,194739
joker,1492319
jolly,2522092
joust,160309
judge,30905832
juice,10973425
juicy,3778910
jumbo,3237095
jumpy,168187
junta,629394
junto,128329
juror,837876
kappa,2793667
karma,6862407
kayak,2628993
kebab,248067
khaki,1481504
kinky,3254161
kiosk,1808146
kitty,6414935
knack,616898
knave,149542
knead,235592
kneed,71162
kneel,417602
knelt,429464
knife,11297715
knock,5196013
knoll,965905
known,86395556
koala,922217
krill,208654
label,41359857
labor,37866418
laden,5964620
ladle,372653
lager,1050146
lance,5509634
lanky,146488
lapel,1119712
lapse,1459542
large,165863763
larva,462298
lasso,573529
latch,1777882
later,84857974
lathe,1073261
latte,783412
laugh,9822471
layer,26912270
leach,1516929
leafy,704018
leaky,650957
leant,101406
leapt,411241
learn,179428286
lease,17180592
leash,1310125
least,111229798
leave,70957750
ledge,1157598
leech,698609
leery,168700
lefty,978333
legal,142048771
leggy,182670
lemon,9066930
lemur,287912
leper,200592
level,202563642
lever,3566558
libel,866830
liege,598284
light,126699632
liken,132264
lilac,1738684
limbo,847468
limit,38290292
linen,4960413
liner,4486145
lingo,1055245
lipid,2662396
lithe,135670
liver,12139363
livid,270785
llama,1033922
loamy,138014
loath,151677
lobby,6887477
local,270742935
locus,3009222
lodge,21541130
lofty,1018661
logic,23989892
login,144200144
loopy,263368
loose,12556710
lorry,549887
loser,2529180
louse,178544
lousy,1095083
lover,9234545
lower,72606927
lowly,543486
loyal,4498834
lucid,1105349
lucky,14053901
lumen,710305
lumpy,296904
lunar,3611744
lunch,20807419
lunge,199129
lupus,1538621
lurch,204983
lurid,226354
lusty,702157
lying,8260845
lymph,1781845
lynch,4920597
lyric,6970278
macaw,261749
macho,797523
macro,9885853
madam,2023575
madly,545418
mafia,2666020
magic,36676771
magma,992528
maize,2222076
major,122592252
maker,16635947
mambo,5164902
mamma,1368416
mammy,145805
manga,12774174
mange,250483
mango,2171900
mangy,55682
mania,3688699
manic,1448525
manly,1260481
manor,7084688
maple,9704551
march,158281269
marry,4388137
marsh,5073104
mason,9461838
masse,515818
match,53532481
matey,104596
mauve,589931
maxim,3820484
maybe,51895609
mayor,15030847
mealy,116752
meant,17832930
meaty,395095
mecca,1298392
medal,7747036
media,216432510
medic,1122716
melee,1034523
melon,1355214
mercy,6831149
merge,5961585
merit,6450895
merry,6367037
metal,56181783
meter,22874915
metro,18738665
micro,22219932
midge,308737
midst,3381410
might,123196001
milky,1515925
mimic,1187154
mince,328039
miner,2264812
minim,165667
minor,29782623
minty,218953
minus,7025364
mirth,381439
miser,222219
missy,1925451
mocha,933522
modal,1718570
model,161205740
modem,15984492
mogul,753098
moist,2140516
molar,650262
moldy,208515
money,190205072
month,123027963
moody,3776452
moose,3581329
moral,13643598
moron,1017416
morph,759670
mossy,470059
motel,9170238
motif,2961524
motor,40615655
motto,1894147
moult,75151
mound,2259654
mount,36648260
mourn,779010
mouse,33667003
mouth,22880351
mover,2309084
movie,158421100
mower,1579636
mucky,111308
mucus,600467
muddy,1860188
mulch,833160
mummy,1878933
munch,699127
mural,1367338
murky,532036
mushy,275321
music,414028837
musky,177529
musty,237343
myrrh,294893
nadir,353146
naive,1848489
nanny,3025474
nasal,2536094
nasty,7434847
natal,3010028
naval,8091649
navel,1503077
needy,1636137
neigh,211412
nerdy,431324
nerve,6567418
never,149556758
newer,7122879
newly,21102330
nicer,1239249
niche,3999108
niece,1151039
night,130531484
ninja,4439780
ninny,38726
ninth,4390562
noble,12604679
nobly,118764
noise,25171520
noisy,3722908
nomad,1422041
noose,378201
north,217809513
nosey,132182
notch,3302495
novel,21821189
nudge,942601
nurse,16772151
nutty,686428
nylon,10410171
nymph,697326
oaken,69075
obese,1673406
occur,24679212
ocean,31928741
octal,557500
octet,2280607
odder,60826
oddly,1385252
offal,194416
offer,126228968
often,92551460
olden,318215
older,44222089
olive,9298184
ombre,243069
omega,10289113
onion,6384730
onset,3858839
opera,18225169
opine,103450
opium,1330299
optic,4558869
orbit,5389062
order,336631187
organ,9077449
other,978481319
otter,1662335
ought,7523238
ounce,3268355
outdo,146433
outer,11245167
outgo,34007
ovary,1003163
ovate,143727
overt,871540
ovine,146663
ovoid,105072
owing,2399321
owner,58189056
oxide,5321340
ozone,5865280
paddy,1668962
pagan,3805644
paint,21926890
paler,152772
palsy,1409502
panel,53784382
panic,6396440
pansy,420775
papal,754586
paper,134939426
parer,38034
parka,688453
parry,1371591
parse,3698919
party,144707500
pasta,5855460
paste,8913055
pasty,231237
patch,39999745
patio,7627536
patsy,1064602
patty,2339693
pause,4606318
payee,611882
payer,1439009
peace,47856201
peach,3938068
pearl,18707334
pecan,1118027
pedal,3763705
penal,1467202
pence,1009358
penne,400010
penny,7162062
perch,1235177
peril,1258951
perky,1360009
pesky,619402
pesto,521625
petal,895903
petty,3195594
phase,40722940
phone,256643812
phony,765758
photo,227125249
piano,19419956
picky,711200
piece,44298807
piety,595389
piggy,1053871
pilot,21909830
pinch,2082769
piney,394672
pinky,672775
pinto,1108872
piper,3346631
pique,664313
pitch,9800556
pithy,194285
pivot,1734444
pixel,8813200
pixie,1037554
pizza,14763787
place,220970235
plaid,1679093
plain,23747230
plait,103227
plane,17799728
plank,1265284
plant,53247607
plate,24275560
plaza,14274314
plead,1125870
pleat,266830
plied,243191
plier,260940
pluck,891481
plumb,631703
plume,1269109
plump,3386553
plunk,106835
plush,4692870
poesy,62166
point,175527859
poise,339263
poker,129054826
polar,7715471
polka,1242601
polyp,197981
pooch,348386
poppy,1805254
porch,3420626
poser,1361002
posit,292597
posse,1038358
pouch,4023912
pound,13620117
pouty,69818
power,226596368
prank,825027
prawn,510828
preen,73524
press,179652730
price,501651226
prick,891337
pride,14428078
pried,82841
prime,38308402
primo,912120
print,178250872
prior,62949059
prism,2648058
privy,742055
prize,16204739
probe,9643801
prone,3001079
prong,1059042
proof,26305059
prose,3085898
proud,17167504
prove,16046788
prowl,343421
proxy,10773043
prude,93351
prune,688443
psalm,2220027
pubic,923627
pudgy,89451
puffy,3488647
pulpy,41088
pulse,18893735
punch,6872844
pupal,68283
pupil,4167137
puppy,6662287
puree,438733
purer,145370
purge,1366135
purse,5488891
pushy,255990
putty,1065017
pygmy,421975
quack,484886
quail,1278967
quake,4544481
qualm,34744
quark,2286617
quart,2002127
quash,204823
quasi,2804115
queen,32366847
queer,2717979
quell,292803
query,31284313
quest,14258533
queue,7398569
quick,85584600
quiet,16746894
quill,790160
quilt,5187075
quirk,444069
quite,58777731
quota,3245515
quote,139242226
quoth,282770
rabbi,3488700
rabid,612676
racer,3625077
radar,14982375
radii,575939
radio,113285624
rainy,2469088
raise,21099943
rajah,157089
rally,9155530
ralph,12190683
ramen,373754
ranch,10539650
randy,8110369
range,128314924
rapid,19070672
rarer,296244
raspy,105094
ratio,26457942
ratty,148678
raven,4630541
rayon,934490
razor,3451657
reach,35687918
react,4126376
ready,62667516
realm,6122762
rearm,45604
rebar,281535
rebel,6527810
rebus,227042
rebut,235254
recap,2861982
recur,378119
recut,146984
reedy,316918
refer,27099706
refit,197564
regal,2236787
rehab,6460331
reign,3505605
relax,8856944
relay,9275052
relic,947341
remit,1111713
renal,4494106
renew,6561081
repay,1746487
repel,439316
reply,184777992
rerun,763880
reset,10021033
resin,4966700
retch,37821
retro,8000179
retry,916420
reuse,3950428
revel,546018
revue,1290094
rhino,2619135
rhyme,1530733
rider,8987802
ridge,15993437
rifle,5047417
right,273620358
rigid,4240019
rigor,513599
rinse,1885846
ripen,191197
riper,74056
risen,2619862
riser,969986
risky,2412508
rival,4298220
river,78843808
rivet,616847
roach,3017586
roast,3205415
robin,11423944
robot,12656312
rocky,10404321
rodeo,3587192
roger,15353411
rogue,4576302
roomy,574188
roost,608008
rotor,2003039
rouge,6084449
rough,11557184
round,61836702
rouse,812361
route,31439231
rover,8537021
rowdy,510507
rower,239796
royal,45407189
ruddy,387590
ruder,89666
rugby,12992179
ruler,2615554
rumba,404980
rumor,2455494
rupee,2831536
rural,30998929
rusty,2780895
sadly,3905175
safer,5085040
saint,38929141
salad,8923706
sally,5933047
salon,10079006
salsa,4234056
salty,1196416
salve,423303
salvo,454555
sandy,9897487
saner,84491
sappy,216405
sassy,1657970
satin,6620674
satyr,136838
sauce,10968629
saucy,474568
sauna,4202256
saute,546457
savor,506115
savoy,1246516
savvy,3140230
scald,101839
scale,46307526
scalp,1356840
scaly,272847
scamp,810996
scant,543285
scare,2972708
scarf,3181107
scary,5571680
scene,29372413
scent,3277212
scion,2245350
scoff,177728
scold,170208
scone,213031
scoop,5272369
scope,23349420
score,69315004
scorn,622924
scour,411478
scout,6176157
scowl,115386
scram,139774
scrap,3757085
scree,148396
screw,8177263
scrub,2360299
scrum,425870
scuba,6366349
sedan,4769270
seedy,284954
segue,234120
seize,1908868
semen,1553302
sense,52629633
sepia,741438
serif,2109334
serum,5854942
serve,36697856
setup,23534848
seven,44224906
sever,686306
sewer,5008805
shack,2739743
shade,6996835
shady,2059463
shaft,6431372
shake,6839319
shaky,766843
shale,769742
shall,191963867
shalt,1854326
shame,6785296
shank,1311484
shape,25675227
shard,287428
share,119294241
shark,5904454
sharp,24904199
shave,2580057
shawl,1011728
shear,2886210
sheen,1124463
sheep,8962638
sheer,6684477
sheet,44295187
sheik,596893
shelf,11287023
shell,20599318
shied,103457
shift,19811555
shine,5881862
shiny,3192674
shire,2665081
shirk,194196
shirt,40501964
shoal,435185
shock,14850388
shone,704369
shook,2917411
shoot,12695618
shore,12568485
shorn,142311
short,106755242
shout,3965861
shove,847364
shown,68755779
showy,294798
shrew,382770
shrub,1458217
shrug,720506
shuck,116293
shunt,604152
shush,60031
shyly,213165
siege,2518421
sieve,851108
sight,13360499
sigma,11864409
silky,1749406
silly,6833654
since,214302926
sinew,74869
singe,106880
siren,1354779
sissy,1410911
sixth,9920054
sixty,4851534
skate,4932092
skier,863046
skiff,281833
skill,15835076
skimp,107336
skirt,9981485
skulk,24018
skull,4457991
skunk,937406
slack,1954286
slain,1281084
slang,1817718
slant,1313083
slash,2935535
slate,3813904
slave,10692715
sleek,2734565
sleep,29491537
sleet,305148
slept,2370802
slice,4628779
slick,2372634
slide,22339084
slime,869502
slimy,346686
sling,1688770
slink,196197
sloop,295505
slope,6469975
slosh,51634
sloth,519428
slump,878659
slung,253265
slunk,40167
slurp,495920
slush,389608
slyly,103507
smack,1451860
small,208371878
smart,36636558
smash,3192001
smear,1289528
smell,6642666
smelt,301053
smile,13893537
smirk,403780
smite,270393
smith,63357901
smock,220361
smoke,16567733
smoky,1818184
smote,276278
snack,3847152
snail,1580640
snake,7606395
snaky,18580
snare,1311615
snarl,184639
sneak,2280877
sneer,203583
snide,238032
sniff,1041321
snipe,425778
snoop,2787168
snore,294125
snort,1522943
snout,258314
snowy,1631719
snuck,274495
snuff,861230
soapy,303519
sober,1672710
soggy,331525
solar,20423792
solid,37426444
solve,13452150
sonar,1341822
sonic,7298920
sooth,141125
sooty,220245
sorry,35595812
sound,100010833
south,238581133
sower,137381
space,121505269
spade,1567565
spank,5416004
spare,10009522
spark,4842423
spasm,391339
spawn,1908837
speak,31324712
spear,2942538
speck,757962
speed,83135749
spell,8506049
spelt,431427
spend,26713310
spent,29719451
sperm,5944531
spice,7120274
spicy,3170817
spied,294373
spiel,811922
spike,4833410
spiky,181090
spill,3890646
spilt,214786
spine,5370074
spiny,366114
spire,725421
spite,4493143
splat,350981
split,19998411
spoil,1419320
spoke,11577917
spoof,907481
spook,318653
spool,1499516
spoon,4000406
spore,589081
sport,62683851
spout,905624
spray,15148133
spree,1218040
sprig,143773
spunk,404915
spurn,79323
spurt,325911
squad,8744772
squat,925062
squib,112968
stack,11090579
staff,151553180
stage,52518330
staid,194345
stain,3512824
stair,2012524
stake,5061965
stale,1065657
stalk,936028
stall,2114252
stamp,9760468
stand,46292709
stank,100733
stare,1925618
stark,3479265
start,161913408
stash,1553737
state,453104133
stave,363443
stead,724786
steak,4413680
steal,6257493
steam,11141309
steed,701658
steel,49452604
steep,3399504
steer,2159937
stein,3893544
stern,4643592
stick,22399126
stiff,3492842
still,190433487
stilt,188393
sting,2773263
stink,872742
stint,855795
stock,176295589
stoic,272080
stoke,2552684
stole,2814273
stomp,1168038
stone,42494931
stony,1907651
stood,11116275
stool,3031945
stoop,360440
store,291308910
stork,728360
storm,22242164
story,138433809
stout,1939514
stove,3914849
strap,11414669
straw,3958211
stray,1807545
strip,18711440
strut,1271153
stuck,9120620
study,152978354
stuff,81444510
stump,1357079
stung,404657
stunk,76458
stunt,1754828
style,101024266
suave,336960
sugar,22450333
suing,816011
suite,44829675
sulky,156355
sully,458846
sumac,181045
sunny,9497382
super,66703287
surer,73497
surge,5436623
surly,372213
sushi,3488691
swami,900023
swamp,2575587
swarm,1158175
swash,265955
swath,438339
swear,3082372
sweat,4551615
sweep,3623863
sweet,32311923
swell,2213445
swept,2612095
swift,5850031
swill,92032
swine,1578713
swing,12734467
swirl,1251090
swish,949054
swoon,248694
swoop,467481
sword,8835685
swore,663914
sworn,2332355
swung,867135
synod,1095269
syrup,3108136
tabby,504455
table,165341452
taboo,3079923
tacit,594255
tacky,519106
taffy,411033
taint,375008
taken,87019836
taker,625940
